user_id,time,account,operation,coin,change,remark,source_file,export_year
201486434,23-01-18 23:28:21,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-02-16 17:05:17,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-03-24 12:21:20,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-04-20 15:09:58,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-05-22 16:20:50,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-06-23 10:44:02,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-07-20 08:21:04,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-08-23 14:23:46,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-09-22 04:09:36,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-10-20 10:48:10,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-11-17 10:20:39,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
201486434,23-12-15 04:16:02,Spot,Airdrop Assets,LUNA,0.00000001,,Binance-Transaction-History-202603101621(UTC+1)_523c8b06 - All transactions 2023.xlsx,2023
